Gene,GSM158635,GSM158636,GSM158637,GSM158638,GSM158639,GSM158640,GSM158641,GSM158642,GSM158643
NCAN,168.0,360.0,245.0,337.0,212.0,202.6666667,221.0,259.0,222.6666667
NCAPD2,223.0,100.0,140.0,243.0,309.6666667,452.6666667,356.0,410.6666667,344.3333333
NCAPD3,626.0,676.0,468.0,1763.0,369.6666667,877.3333332999997,1914.333333,1642.333333,849.6666667000003
NCAPG,892.0,584.0,68.0,1043.0,225.3333333,359.3333333,950.0,1020.333333,2784.666667
NCAPG2,314.0,165.0,-10.0,94.0,153.66666669999995,381.6666667,265.3333333,756.0,278.3333333
NCAPH,190.0,-28.0,-431.0,157.0,-28.6666667,14.3333333,101.0,545.0,419.0
NCAPH2,484.0,770.0,709.0,648.0,423.6666667,366.6666667,568.3333332999998,441.33333330000005,457.0
NCBP1,201.0,215.0,479.0,505.0,220.0,256.6666667,466.33333330000005,759.3333332999998,523.3333333
NCBP2,2245.0,2775.0,1832.0,2512.0,1996.666667,2310.0,1091.0,1559.666667,3191.0
NCDN,336.0,479.0,417.0,288.0,281.3333333,284.0,322.3333333,180.6666667,171.66666669999995
NCF1,61.0,-1.0,-84.0,-106.0,328.6666667,133.0,303.3333333,66.66666670000001,-61.0
NCF2,519.0,61.0,238.0,11.0,1442.333333,346.3333333,58.0,133.0,216.6666667
NCF4,80.0,162.0,129.0,22.0,584.0,336.6666667,149.66666669999995,83.0,102.6666667
NCK1,1920.0,1439.0,1859.0,2573.0,2055.666667,1707.6666670000004,4085.0,5145.0,3737.0
NCK2,3079.0,2539.0,4061.0,3528.0,3403.0,2847.0,2950.0,3135.0,2162.0
NCKAP1,3478.0,3048.0,3156.0,5134.0,3265.666667,4773.0,4673.666667,8286.0,6639.0
NCKAP1L,355.0,184.0,198.0,356.0,534.0,228.0,172.66666669999995,186.0,166.0
NCKIPSD,1214.0,1266.0,926.0,1217.0,747.6666667000002,895.3333332999997,642.6666667000002,461.6666667,645.0
NCL,4165.0,4332.0,2423.0,8446.0,6312.0,4251.333333,5569.666667,8480.333333,9332.0
NCLN,77.0,103.0,54.0,94.0,86.66666670000002,181.3333333,105.0,80.33333329999998,87.33333329999998
NCOA1,2402.0,2005.0,3535.0,2610.0,2350.666667,1291.333333,1241.0,1751.0,841.0
NCOA2,910.0,1045.0,664.0,1209.0,1657.333333,3660.333333,702.3333332999998,1406.333333,4670.333333
NCOA3,1507.0,1600.0,366.0,982.0,1137.0,914.6666667000003,1834.333333,2108.333333,1677.0
NCOA4,11543.0,10015.0,15374.0,14391.0,16626.33333,15224.33333,17557.66667,18393.33333,11461.33333
